"HIOKI E.E. CORPORATION","IM3570","Ver. 3.06"

"DATE","23-01-28"
"TIME","18:24:00"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.2000","s"
"DCBIAS","OFF"

"V","1.000","V"
"RANGE","AUTO"
"SPEED","SLOW"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[É∂]","É∆[Åã]"
"206","1.6000E+03","1.006386E+06","-87.956"
"207","1.6218E+03","992.6513E+03","-88.005"
"208","1.6438E+03","980.1234E+03","-87.989"
"209","1.6662E+03","967.1392E+03","-88.045"
"210","1.6889E+03","953.7132E+03","-88.009"
"211","1.7119E+03","941.6800E+03","-88.014"
"212","1.7352E+03","930.0265E+03","-88.005"
"213","1.7588E+03","917.7168E+03","-88.027"
"214","1.7828E+03","905.9696E+03","-87.955"
"215","1.8071E+03","893.7219E+03","-88.004"
"216","1.8317E+03","881.5293E+03","-88.069"
"217","1.8566E+03","870.0806E+03","-88.006"
"218","1.8819E+03","858.9646E+03","-88.015"
"219","1.9075E+03","847.1119E+03","-88.124"
"220","1.9335E+03","836.4398E+03","-88.127"
"221","1.9598E+03","825.4132E+03","-88.110"
"222","1.9865E+03","814.2052E+03","-88.060"
"223","2.0136E+03","802.6150E+03","-88.021"
"224","2.0410E+03","793.4960E+03","-88.184"
"225","2.0688E+03","783.2578E+03","-88.171"
"226","2.0969E+03","773.1969E+03","-88.044"
"227","2.1255E+03","761.8138E+03","-88.120"
"228","2.1544E+03","751.6348E+03","-88.143"
"229","2.1838E+03","742.4734E+03","-88.147"
"230","2.2135E+03","733.3662E+03","-88.117"
"231","2.2436E+03","723.8729E+03","-88.111"
"232","2.2742E+03","714.1691E+03","-88.082"
"233","2.3052E+03","704.4802E+03","-88.106"
"234","2.3365E+03","693.8468E+03","-88.085"
"235","2.3684E+03","684.7990E+03","-88.245"
"236","2.4006E+03","676.7780E+03","-88.302"
"237","2.4333E+03","666.7928E+03","-88.243"
"238","2.4664E+03","657.6485E+03","-88.267"
"239","2.5000E+03","650.2833E+03","-88.224"
"240","2.5341E+03","640.6923E+03","-88.306"
"241","2.5686E+03","632.6586E+03","-88.270"
"242","2.6035E+03","624.6531E+03","-88.270"
"243","2.6390E+03","615.8745E+03","-88.373"
"244","2.6749E+03","607.8686E+03","-88.330"
"245","2.7114E+03","600.6477E+03","-88.305"
"246","2.7483E+03","592.5807E+03","-88.286"
"247","2.7857E+03","584.6449E+03","-88.264"
"248","2.8236E+03","576.8201E+03","-88.309"
"249","2.8621E+03","569.6771E+03","-88.362"
"250","2.9010E+03","561.6517E+03","-88.325"
"251","2.9405E+03","553.7123E+03","-88.336"
"252","2.9806E+03","547.6575E+03","-88.330"
"253","3.0212E+03","539.9639E+03","-88.365"
"254","3.0623E+03","532.6612E+03","-88.408"
"255","3.1040E+03","525.7439E+03","-88.398"
"256","3.1463E+03","518.6590E+03","-88.361"
"257","3.1891E+03","511.5825E+03","-88.378"
"258","3.2325E+03","505.0490E+03","-88.382"
"259","3.2766E+03","498.4331E+03","-88.404"
"260","3.3212E+03","491.6177E+03","-88.441"
"261","3.3664E+03","485.4010E+03","-88.440"
"262","3.4122E+03","478.7102E+03","-88.449"
"263","3.4587E+03","472.9855E+03","-88.446"
"264","3.5058E+03","466.4153E+03","-88.454"
"265","3.5535E+03","460.0673E+03","-88.446"
"266","3.6019E+03","454.3441E+03","-88.457"
"267","3.6510E+03","448.1008E+03","-88.467"
"268","3.7007E+03","442.2697E+03","-88.510"
"269","3.7511E+03","436.3823E+03","-88.444"
"270","3.8021E+03","430.6764E+03","-88.515"
"271","3.8539E+03","425.0849E+03","-88.509"
"272","3.9064E+03","419.1883E+03","-88.514"
"273","3.9596E+03","413.4270E+03","-88.510"
"274","4.0135E+03","408.1558E+03","-88.550"
"275","4.0682E+03","403.0931E+03","-88.510"
"276","4.1235E+03","397.5543E+03","-88.521"
"277","4.1797E+03","392.4307E+03","-88.546"
"278","4.2366E+03","387.0965E+03","-88.543"
"279","4.2943E+03","381.9483E+03","-88.566"
"280","4.3528E+03","376.7384E+03","-88.541"
"281","4.4120E+03","371.8966E+03","-88.561"
"282","4.4721E+03","367.3694E+03","-88.564"
"283","4.5330E+03","362.1776E+03","-88.647"
"284","4.5947E+03","357.4642E+03","-88.628"
"285","4.6573E+03","352.7741E+03","-88.603"
"286","4.7207E+03","348.2015E+03","-88.617"
"287","4.7850E+03","343.4415E+03","-88.628"
"288","4.8502E+03","338.7725E+03","-88.652"
"289","4.9162E+03","334.8273E+03","-88.636"
"290","4.9831E+03","330.2053E+03","-88.683"
"291","5.0510E+03","325.2320E+03","-88.644"
"292","5.1198E+03","321.3739E+03","-88.640"
"293","5.1895E+03","316.7619E+03","-88.655"
"294","5.2601E+03","312.8113E+03","-88.691"
"295","5.3318E+03","308.5887E+03","-88.706"
"296","5.4044E+03","304.6628E+03","-88.701"
"297","5.4780E+03","300.6369E+03","-88.725"
"298","5.5526E+03","296.7259E+03","-88.707"
"299","5.6282E+03","292.8615E+03","-88.710"
"300","5.7048E+03","288.8636E+03","-88.735"
"301","5.7825E+03","284.6778E+03","-88.719"
"302","5.8612E+03","281.0597E+03","-88.708"
"303","5.9410E+03","277.1358E+03","-88.752"
"304","6.0219E+03","273.6957E+03","-88.733"
"305","6.1039E+03","270.1165E+03","-88.756"
"306","6.1870E+03","266.6112E+03","-88.763"
"307","6.2713E+03","262.8684E+03","-88.718"
"308","6.3567E+03","259.5781E+03","-88.796"
"309","6.4432E+03","256.1377E+03","-88.762"
"310","6.5310E+03","252.6726E+03","-88.799"
"311","6.6199E+03","249.3339E+03","-88.795"
"312","6.7100E+03","245.9805E+03","-88.799"
"313","6.8014E+03","242.7962E+03","-88.770"
"314","6.8940E+03","239.1871E+03","-88.777"
"315","6.9879E+03","236.4347E+03","-88.803"
"316","7.0830E+03","233.0522E+03","-88.825"
"317","7.1795E+03","230.1934E+03","-88.828"
"318","7.2772E+03","227.0557E+03","-88.802"
"319","7.3763E+03","223.8909E+03","-88.803"
"320","7.4768E+03","220.7302E+03","-88.886"
"321","7.5786E+03","218.0643E+03","-88.866"
"322","7.6818E+03","215.1055E+03","-88.899"
"323","7.7864E+03","212.2548E+03","-88.871"
"324","7.8924E+03","209.5577E+03","-88.864"
"325","7.9999E+03","206.5441E+03","-88.839"
"326","8.1088E+03","203.9581E+03","-88.901"
"327","8.2192E+03","201.1572E+03","-88.907"
"328","8.3311E+03","198.5560E+03","-88.908"
"329","8.4446E+03","195.9901E+03","-88.894"
"330","8.5596E+03","193.2919E+03","-88.878"
"331","8.6761E+03","190.7019E+03","-88.912"
"332","8.7943E+03","188.0778E+03","-88.941"
"333","8.9140E+03","185.7118E+03","-88.921"
"334","9.0354E+03","183.1856E+03","-88.910"
"335","9.1584E+03","180.7947E+03","-88.933"
"336","9.2831E+03","178.3917E+03","-88.922"
"337","9.4095E+03","175.8933E+03","-88.931"
"338","9.5376E+03","173.7104E+03","-88.935"
"339","9.6675E+03","171.3559E+03","-88.919"
"340","9.7992E+03","169.1169E+03","-88.981"
"341","9.9326E+03","166.8891E+03","-88.931"
"342","10.068E+03","164.5718E+03","-88.970"
"343","10.205E+03","162.3355E+03","-89.052"
"344","10.344E+03","160.5227E+03","-88.952"
"345","10.485E+03","157.8902E+03","-89.006"
"346","10.627E+03","156.0173E+03","-88.965"
"347","10.772E+03","154.1854E+03","-89.042"
"348","10.919E+03","152.0134E+03","-89.022"
"349","11.068E+03","149.8173E+03","-89.091"
"350","11.218E+03","147.8895E+03","-89.023"
"351","11.371E+03","145.9600E+03","-89.071"
"352","11.526E+03","144.0767E+03","-88.951"
"353","11.683E+03","142.2028E+03","-89.071"
"354","11.842E+03","140.2235E+03","-89.031"
"355","12.003E+03","138.3071E+03","-89.019"
"356","12.167E+03","136.3732E+03","-89.019"
"357","12.332E+03","134.7093E+03","-89.045"
"358","12.500E+03","132.8422E+03","-89.083"
"359","12.670E+03","131.1572E+03","-89.047"
"360","12.843E+03","129.3929E+03","-89.047"
"361","13.018E+03","127.6506E+03","-89.060"
"362","13.195E+03","125.9943E+03","-89.078"
"363","13.375E+03","124.2101E+03","-89.072"
"364","13.557E+03","122.6127E+03","-89.080"
"365","13.741E+03","120.9953E+03","-89.102"
"366","13.929E+03","119.3511E+03","-89.078"
"367","14.118E+03","117.7822E+03","-89.100"
"368","14.310E+03","116.2054E+03","-89.106"
"369","14.505E+03","114.7120E+03","-89.102"
"370","14.703E+03","113.1430E+03","-89.101"
"371","14.903E+03","111.6521E+03","-89.117"
"372","15.106E+03","110.1446E+03","-89.114"
"373","15.312E+03","108.7179E+03","-89.120"
"374","15.520E+03","107.2200E+03","-89.126"
"375","15.731E+03","105.8475E+03","-89.120"
"376","15.946E+03","104.4261E+03","-89.137"
"377","16.163E+03","103.0272E+03","-89.143"
"378","16.383E+03","101.6465E+03","-89.148"
"379","16.606E+03","100.3157E+03","-89.145"
"380","16.832E+03","98.92208E+03","-89.144"
"381","17.061E+03","97.63605E+03","-89.163"
"382","17.294E+03","96.31565E+03","-89.161"
"383","17.529E+03","95.04776E+03","-89.176"
"384","17.768E+03","93.77136E+03","-89.166"
"385","18.010E+03","92.53172E+03","-89.164"
"386","18.255E+03","91.31757E+03","-89.176"
"387","18.503E+03","90.07883E+03","-89.186"
"388","18.755E+03","88.86991E+03","-89.180"
"389","19.011E+03","87.70484E+03","-89.176"
"390","19.270E+03","86.49419E+03","-89.179"
"391","19.532E+03","85.35880E+03","-89.186"
"392","19.798E+03","84.23305E+03","-89.190"
"393","20.068E+03","83.11097E+03","-89.203"
"394","20.341E+03","82.00386E+03","-89.214"
"395","20.618E+03","80.91163E+03","-89.219"
"396","20.899E+03","79.90586E+03","-89.193"
"397","21.183E+03","78.84768E+03","-89.208"
"398","21.472E+03","77.78421E+03","-89.208"
"399","21.764E+03","76.75164E+03","-89.220"
"400","22.060E+03","75.73770E+03","-89.224"
"401","22.361E+03","74.72716E+03","-89.225"
"402","22.665E+03","73.72282E+03","-89.226"
"403","22.974E+03","72.76039E+03","-89.235"
"404","23.287E+03","71.77320E+03","-89.246"
"405","23.604E+03","70.80442E+03","-89.245"
"406","23.925E+03","69.87685E+03","-89.254"
"407","24.251E+03","68.93512E+03","-89.255"
"408","24.581E+03","68.00685E+03","-89.251"
"409","24.916E+03","67.11244E+03","-89.256"
"410","25.255E+03","66.20575E+03","-89.259"
"411","25.599E+03","65.33150E+03","-89.263"
"412","25.948E+03","64.45865E+03","-89.270"
